Parameters vs Position
Line A: Shear Force/Bending Moment (Static), All Pressure Components - Global Y (AQW) [N]
Line B: Shear Force/Bending Moment (Static), All Pressure Components - Global Y (AQW) [N]
Line C: Shear Force/Bending Moment (Static), All Pressure Components - Global Z (AQW) [N]

*Position (m);Line A (N);Line B (N);Line C (N)
-48.12666;0.0;0.0;0.0
-47.34069;-5.389004945755E-05;-5.389004945755E-05;-845406.0625
-46.55473;2.86571681499481E-04;2.86571681499481E-04;-1623652.375
-45.76875;-3.54297459125519E-04;-3.54297459125519E-04;-2335008.5
-44.98278;2.25536525249481E-04;2.25536525249481E-04;-2979386.5
-44.19682;-4.9256719648838E-05;-4.9256719648838E-05;-3556785.75
-43.41084;-1.29775935783982E-03;-1.29775935783982E-03;-4067204
-42.62487;-2.67706485465169E-03;-2.67706485465169E-03;-4510645
-41.83891;5.80487446859479E-03;5.80487446859479E-03;-4887107
-41.05293;6.53729634359479E-03;6.53729634359479E-03;-5196587
-40.26696;6.7792134359479E-04;6.7792134359479E-04;-5439091
-39.481;5.31659321859479E-03;5.31659321859479E-03;-5614616
-38.69502;1.60587802529335E-02;1.60587802529335E-02;-5723158
-37.90905;1.87403634190559E-02;1.87403634190559E-02;-5764725
-37.12309;1.20148463174701E-02;1.20148463174701E-02;-5739313
-36.33711;7.01534003019333E-03;7.01534003019333E-03;-5646934.5
-35.55114;5.06221503019333E-03;5.06221503019333E-03;-5522576
-34.76517;8.48018378019333E-03;8.48018378019333E-03;-5398217.5
-33.9792;-3.23856621980667E-03;-3.23856621980667E-03;-5273854
-33.19323;-3.72684746980667E-03;-3.72684746980667E-03;-5149495.5
-32.40726;-5.67997246980667E-03;-5.67997246980667E-03;-5025137
-31.6213;5.06221503019333E-03;5.06221503019333E-03;-4900778.5
-30.83533;1.15596503019333E-03;1.15596503019333E-03;-4776417.5
-30.04936;2.11754962801933E-02;2.11754962801933E-02;-4652059
-29.26339;3.09411212801933E-02;3.09411212801933E-02;-4527698
-28.47742;2.11754962801933E-02;2.11754962801933E-02;-4403337
-27.69145;1.14098712801933E-02;1.14098712801933E-02;-4278978.5
-26.90548;2.89879962801933E-02;2.89879962801933E-02;-4154617.5
-26.11951;3.68004962801933E-02;3.68004962801933E-02;-4030259
-25.33354;3.28942462801933E-02;3.28942462801933E-02;-3905898
-24.54757;3.28942462801933E-02;3.28942462801933E-02;-3781537
-23.76159;3.68004962801933E-02;3.68004962801933E-02;-3657176
-22.97562;2.31286212801933E-02;2.31286212801933E-02;-3532815
-22.18966;2.11754962801933E-02;2.11754962801933E-02;-3408456.25
-21.40368;2.89879962801933E-02;2.89879962801933E-02;-3284095.25
-20.61772;3.68004962801933E-02;3.68004962801933E-02;-3159736.5
-19.83175;2.50817462801933E-02;2.50817462801933E-02;-3035375.5
-19.04577;3.09411212801933E-02;3.09411212801933E-02;-2911014.5
-18.25981;7.50362128019333E-03;7.50362128019333E-03;-2786655.75
-17.47383;7.50362128019333E-03;7.50362128019333E-03;-2662294.75
-16.68786;6.03877753019333E-03;6.03877753019333E-03;-2537934
-15.90189;1.18981525301933E-02;1.18981525301933E-02;-2413573
-15.11592;-9.58622246980667E-03;-9.58622246980667E-03;-2289214.5
-14.32995;-1.73987224698067E-02;-1.73987224698067E-02;-2164853.5
-13.54399;-3.10705974698067E-02;-3.10705974698067E-02;-2040495.125
-12.75801;-3.88830974698067E-02;-3.88830974698067E-02;-1916134
-11.97204;-2.56995037198067E-02;-2.56995037198067E-02;-1791773
-11.18608;-2.37463787198067E-02;-2.37463787198067E-02;-1667414.5
-10.4001;-2.86291912198067E-02;-2.86291912198067E-02;-1543053.5
-9.61413;-2.08166912198067E-02;-2.08166912198067E-02;-1418692.375
-8.82817;-2.86291912198067E-02;-2.86291912198067E-02;-1294334
